D.Item.AOM,B.Code,DD.Unit.Is.Dry,D.Item,DD.Value,DD.Unit,DD.Nut.or.Diet,DD.Method,DD.Variable,Scientific Name,NCBI,WFO,Feedipedia,CPC_Code_Product,CPC_Code_Component
AOM_001887,JS0207,Yes,Wheat Straw,590,g/kg,Nutrient,Measured in vitro (Tilley & Terry IVDMD),DM,Triticum aestivum,http://purl.obolibrary.org/obo/NCBITaxon_4565,,https://www.feedipedia.org/node/60,0111,01913
AOM_001887,JS0207,Yes,Wheat Straw,570,g/kg,Nutrient,Measured in vitro (Tilley & Terry IVDMD),OM,Triticum aestivum,http://purl.obolibrary.org/obo/NCBITaxon_4565,,https://www.feedipedia.org/node/60,0111,01913
AOM_001911,HK0337,Yes,Unspecified Grass Dried,404,g/kg,Nutrient,Measured in vitro (Van Soest 1991),DM,,,,NA,NA,01919.9
AOM_001911,HK0337,Yes,Unspecified Grass Dried,411,g/kg,Nutrient,Measured in vitro (Van Soest 1991),OM,,,,NA,NA,01919.9
AOM_001912,HK0337,Yes,Unspecified Grass,391,g/kg,Nutrient,Measured in vitro (Van Soest 1991),DM,,,,NA,NA,01919.9
AOM_001912,HK0337,Yes,Unspecified Grass,373,g/kg,Nutrient,Measured in vitro (Van Soest 1991),OM,,,,NA,NA,01919.9
AOM_001918,JS0177,Yes,Sesbania Dried,62,%,Nutrient,Measured in vitro (lab methods),DM,Sesbania sp,,,NA,NA,01919.9
AOM_001926,NN0110.2,Unspecified,Menhaden Ground,75.2,%,Nutrient,Measured marker technique,DM,Brevoortia,,,NA,NA,
AOM_001926,NN0110.2,Unspecified,Menhaden Ground,92.6,%,Nutrient,Measured marker technique,CP,Brevoortia,,,NA,NA,
AOM_001952,NN0180.2,Yes,Beetroot Discards Dried,874.5,g/kg,Nutrient,Measured in vitro (Tilley & Terry IVDMD),OM,Beta vulgaris,http://purl.obolibrary.org/obo/NCBITaxon_161934,,NA,NA,
AOM_001968,JS0172,Yes,Grewia similis Dried,58.2,%,Nutrient,Measured total collection techinque (Apparent),DM,Grewia similis,,,NA,NA,01919.9
AOM_001968,JS0172,Yes,Grewia similis Dried,55.3,%,Nutrient,Measured total collection techinque (Apparent),OM,Grewia similis,,,NA,NA,01919.9
AOM_001968,JS0172,Yes,Grewia similis Dried,76,%,Nutrient,Measured total collection techinque (Apparent),CP,Grewia similis,,,NA,NA,01919.9
AOM_001968,JS0172,Yes,Grewia similis Dried,57.1,%,Nutrient,Measured total collection techinque (Apparent),NDF,Grewia similis,,,NA,NA,01919.9
AOM_002067,JS0172,Yes,Delonix elata Dried,68.3,%,Nutrient,Measured total collection techinque (Apparent),DM,Delonix elata,,,NA,NA,01919.9
AOM_002067,JS0172,Yes,Delonix elata Dried,67.4,%,Nutrient,Measured total collection techinque (Apparent),OM,Delonix elata,,,NA,NA,01919.9
AOM_002067,JS0172,Yes,Delonix elata Dried,86.3,%,Nutrient,Measured total collection techinque (Apparent),CP,Delonix elata,,,NA,NA,01919.9
AOM_002067,JS0172,Yes,Delonix elata Dried,53.3,%,Nutrient,Measured total collection techinque (Apparent),NDF,Delonix elata,,,NA,NA,01919.9
AOM_002089,NN0007,Yes,Alfalfa Pods Dried,507,g/kg,Nutrient,Measured in vitro (Tilley & Terry IVDMD),Invitro,Medicago sativa,http://purl.obolibrary.org/obo/NCBITaxon_3879,,https://www.feedipedia.org/node/275,NA,01919.9
AOM_002204,JS0226,Yes,Lablab purpureus,75.8,%,Diet,Unspecified,Invitro,Dolichos lablab,,,https://www.feedipedia.org/node/297,NA,01919.9
AOM_003102,JS0290,No,Teff Straw,522,g/kg,Nutrient,Measured in sacco,DM,,,,NA,1199.01,01913
AOM_003102,JS0290,No,Teff Straw,556,g/kg,Nutrient,Measured in sacco,OM,,,,NA,1199.01,01913
AOM_003102,JS0290,No,Teff Straw,573,g/kg,Nutrient,Measured in sacco,NDF,,,,NA,1199.01,01913
AOM_006001,JS0281,Yes,Maize Stover,58.08,%,Nutrient,Measured in vitro (Tilley & Terry IVDMD),Invitro,Zea mays,http://purl.obolibrary.org/obo/NCBITaxon_4577,,https://www.feedipedia.org/node/16072,0112,
No Match in AOM,JS0207,Yes,Bracharia & Bothriocloa,396,g/kg,Nutrient,Measured in vitro (Tilley & Terry IVDMD),DM,,,,,,
No Match in AOM,NN0227,Unspecified,Oat & Vetch Dried,630,g/kg,Nutrient,Measured total collection techinque,DM,,,,,,
No Match in AOM,JS0207,Yes,Bracharia & Bothriocloa,310,g/kg,Nutrient,Measured in vitro (Tilley & Terry IVDMD),OM,,,,,,
No Match in AOM,LM0123,Yes,Pennisetum clandestinum & Lolium,845,g/kg,Diet,Measured in vitro (Tilley & Terry IVDMD),OM,,,,,,
No Match in AOM,NN0227,Unspecified,Oat & Vetch Dried,664,g/kg,Nutrient,Measured total collection techinque,OM,,,,,,
No Match in AOM,NN0227,Unspecified,Oat & Vetch Dried,445,g/kg,Nutrient,Measured total collection techinque,CP,,,,,,
No Match in AOM,NN0227,Unspecified,Oat & Vetch Dried,642,g/kg,Nutrient,Measured total collection techinque,NDF,,,,,,
